index,username,date,retweets,favorites,text,emotion,emotion_probability
28,realDonaldTrump,07.02.20 13:00,10697,50468,Thank you Charlie! https:// twitter.com/charliekirk11/ status/1225159300089143296 …,joy,0.302375
29,realDonaldTrump,07.02.20 12:28,29092,102113,"Don’t worry, it won’t happen! https:// twitter.com/TuckerCarlson/ status/1225607709044637697 …",fear,0.785983
30,realDonaldTrump,07.02.20 11:31,9555,53285,"....he will be successful, especially as the weather starts to warm & the virus hopefully becomes weaker, and then gone. Great discipline is taking place in China, as President Xi strongly leads what will be a very successful operation. We are working closely with China to help!",joy,0.739536
31,realDonaldTrump,07.02.20 11:31,17041,100369,"Just had a long and very good conversation by phone with President Xi of China. He is strong, sharp and powerfully focused on leading the counterattack on the Coronavirus. He feels they are doing very well, even building hospitals in a matter of only days. Nothing is easy, but...",joy,0.717067
32,realDonaldTrump,07.02.20 02:17,21163,88055,"“The Senate acquitted President Trump of both charges fabricated by Congressional Democrats, led by Speaker Pelosi and Adam Schiff, to carry out the most egregious and partisan attack against any president in our history - a man they knew to be innocent.” @LouDobbs @FoxBusiness",anger,0.47975500000000004
33,realDonaldTrump,07.02.20 02:16,22177,109190,“This President has done more for African Americans in this Country than any President since Lincoln.” @LouDobbs,disgust,0.344069
35,realDonaldTrump,06.02.20 23:32,17752,96147,"Welcome back to Earth, @Astro_Christina , and congratulations on breaking the female record for the longest stay in space! You’re inspiring young women and making the USA proud! Enjoyed speaking with you and @Astro_Jessica on the first all-female spacewalk IN HISTORY last year.",joy,0.965807
36,realDonaldTrump,06.02.20 23:11,20510,107076,"Nevada, I hear you on Yucca Mountain and my Administration will RESPECT you! Congress and previous Administrations have long failed to find lasting solutions – my Administration is committed to exploring innovative approaches – I’m confident we can get it done!",joy,0.38676
37,realDonaldTrump,06.02.20 22:13,13410,61772,So true! https:// twitter.com/mirandadevine/ status/1225309906863087616 …,,1.0
39,realDonaldTrump,06.02.20 06:22,38378,199063,"Had failed presidential candidate @MittRomney devoted the same energy and anger to defeating a faltering Barack Obama as he sanctimoniously does to me, he could have won the election. Read the Transcripts!",fear,0.393844
40,realDonaldTrump,06.02.20 06:06,3964,16578,"@nytimes “The Votes Were A Resounding Victory For Mr. Trump.” True, but the Impeachment Hoax was just a continuation of the Radical Left, Do Nothing Democrats corrupt practices!",joy,0.602476
42,realDonaldTrump,05.02.20 23:07,60265,296954,I will be making a public statement tomorrow at 12:00pm from the @WhiteHouse to discuss our Country’s VICTORY on the Impeachment Hoax!,joy,0.377316
45,realDonaldTrump,05.02.20 16:22,28253,142944,"“The Democrats want to run a Country, and they can’t run a Caucus.” Brad Blakeman @FoxNews Iowa is a complete disaster for the Dems. They should bring in Mini Mike Bloomberg ASAP!",disgust,0.639135
46,realDonaldTrump,05.02.20 14:19,22449,104952,"Thank you Jonathan, and great job! https:// twitter.com/JonathanTurley /status/1224888842597040129 …",joy,0.858382
47,realDonaldTrump,05.02.20 13:59,48939,325880,It was a great and triumphant evening for our Country. Thank you for all of the nice remarks and wonderful reviews of my State of the Union Speech. It was my great honor to have done it!,joy,0.9587100000000001
50,realDonaldTrump,04.02.20 16:59,32856,176619,"My Approval Rating in the Republican Party = 95%, a record! Big Iowa win. Approval Rating overall = 53%, a new high. With our great Economy and other major successes, would be 20 points higher without the phony Witch Hunts and Hoaxes???",joy,0.755934
51,realDonaldTrump,04.02.20 16:52,29164,172518,"Market up big today on very good economic news. JOBS, JOBS, JOBS!",joy,0.620693
52,realDonaldTrump,04.02.20 15:34,26872,135239,"The Democrat Party in Iowa really messed up, but the Republican Party did not. I had the largest re-election vote in the history of that great state, by far, beating President Obama’s previous record by a lot. Also, 97% Plus of the vote! Thank you Iowa!",joy,0.42794799999999994
53,realDonaldTrump,04.02.20 15:22,28519,139478,"When will the Democrats start blaming RUSSIA, RUSSIA, RUSSIA, instead of their own incompetence for the voting disaster that just happened in the Great State of Iowa?",sadness,0.549045
54,realDonaldTrump,04.02.20 14:27,16802,74710,"It is not the fault of Iowa, it is the Do Nothing Democrats fault. As long as I am President, Iowa will stay where it is. Important tradition! https:// twitter.com/SteveKornacki/ status/1224682732208508928 …",joy,0.505325
55,realDonaldTrump,04.02.20 12:33,37351,167284,"The Democrat Caucus is an unmitigated disaster. Nothing works, just like they ran the Country. Remember the 5 Billion Dollar Obamacare Website, that should have cost 2% of that. The only person that can claim a very big victory in Iowa last night is “Trump”.",sadness,0.701222
56,realDonaldTrump,04.02.20 05:27,31817,212607,Big WIN for us in Iowa tonight. Thank you!,joy,0.8320559999999999
57,realDonaldTrump,04.02.20 04:20,25511,117070,Many people do not know what a great guy & fantastic political talent the great Rush Limbaugh is. There is nobody like him. Looking for a speedy recovery for our friend! https:// twitter.com/dcexaminer/sta tus/1224425704915374080 …,joy,0.739208
59,realDonaldTrump,03.02.20 18:03,35814,155969,Where’s the Whistleblower? Where’s the second Whistleblower? Where’s the Informer? Why did Corrupt politician Schiff MAKE UP my conversation with the Ukrainian President??? Why didn’t the House do its job? And sooo much more!,disgust,0.486731
60,realDonaldTrump,03.02.20 17:52,25034,139639,KEEP AMERICA GREAT!,joy,0.737304
61,realDonaldTrump,03.02.20 17:52,36852,222914,MAKE AMERICA GREAT AGAIN!,joy,0.748909
62,realDonaldTrump,03.02.20 17:51,20561,89938,"Republicans in Iowa, go out and Caucus today. Your great Trade Deals with China, Mexico, Canada, Japan, South Korea and more, are DONE. Great times are coming, after waiting for decades, for our Farmers, Ranchers, Manufacturers and ALL. Nobody else could have pulled this off!",joy,0.646915
63,realDonaldTrump,03.02.20 17:42,26480,122084,"I hope Republicans & the American people realize that the totally partisan Impeachment Hoax is exacty that, a Hoax. Read the Transcripts, listen to what the President & Foreign Minister of Ukraine said (“No Pressure”). Nothing will ever satisfy the Do Nothing, Radical Left Dems!",disgust,0.490154
64,realDonaldTrump,03.02.20 14:15,5350,12897,@LindseyGrahamSC https:// twitter.com/michaelbeatty3 /status/1224003122055372800 …,,1.0
65,realDonaldTrump,03.02.20 14:02,15828,76065,"The DNC on Bernie Sanders, “Looks like they’re going to do it to him again, doesn’t it?” @SteveDoocy @foxandfriends",disgust,0.402177
66,realDonaldTrump,03.02.20 06:25,27003,121582,Hope you liked this! https:// twitter.com/TeamTrump/stat us/1224171421221429248 …,joy,0.396624
67,realDonaldTrump,03.02.20 06:08,17006,96577,Great company! https:// twitter.com/DiamondandSilk /status/1224115838304890883 …,joy,0.9133120000000001
68,realDonaldTrump,03.02.20 06:05,13598,73336,Thank you Mike! https:// twitter.com/realMikeLindel l/status/1224068212893061122 …,joy,0.302375
69,realDonaldTrump,03.02.20 04:41,22020,104193,So Great! https:// twitter.com/hunterw/status /1224082805405167618 …,joy,0.8804350000000001
70,realDonaldTrump,03.02.20 04:27,43015,314411,Congratulations to the Kansas City Chiefs on a great game and a fantastic comeback under immense pressure. We are proud of you and the Great State of Missouri. You are true Champions!,joy,0.962234
71,realDonaldTrump,03.02.20 00:56,54197,213048,"I promised to restore hope in America. That includes the least among us. Together, let’s KEEP AMERICA GREAT! Text TRUMP to 88022 if you liked our Super Bowl ad! pic.twitter.com/Lgjt53B7QX",joy,0.739448
72,realDonaldTrump,03.02.20 00:13,37757,282420,"ENJOY THE GAME USA, OUR COUNTRY IS DOING GREAT!",joy,0.8991
73,realDonaldTrump,02.02.20 21:17,12220,73478,My @SuperBowl Interview at 3:30 P.M. on @foxnetworks . Enjoy!,joy,0.891948
74,realDonaldTrump,02.02.20 06:25,25235,121173,"Mini Mike is now negotiating both to get on the Democrat Primary debate stage, and to have the right to stand on boxes, or a lift, during the debates. This is sometimes done, but really not fair!",disgust,0.569688
75,realDonaldTrump,02.02.20 06:17,25571,103260,"Many of the ads you are watching were paid for by Mini Mike Bloomberg. He is going nowhere, just wasting his money, but he is getting the DNC to rig the election against Crazy Bernie, something they wouldn’t do for @CoryBooker and others. They are doing it to Bernie again, 2016.",disgust,0.6045659999999999
76,realDonaldTrump,02.02.20 06:10,25128,114417,"Mini Mike is part of the Fake News. They are all working together. In fact, Bloomberg isn’t covering himself (too boring to do), or other Dems. Only Trump. That sounds fair! It’s all the Fake News Media, and that’s why nobody believes in them any more.",sadness,0.5719569999999999
77,realDonaldTrump,02.02.20 06:04,26474,111791,"The Radical Left, Do Nothing Democrats, don’t want justice when pushing the Impeachment Hoax, they only want to destabilize the Republican Party so they can do better in the 2020 election, & that includes the House & Senate. They are playing with the people by taking it this far!",sadness,0.43568500000000004
78,realDonaldTrump,02.02.20 05:48,8088,35301,Correct! https:// twitter.com/senatemajldr/s tatus/1219826046125641733 …,,1.0
79,realDonaldTrump,02.02.20 05:42,10159,47960,Thanks for your invaluable help Chuck! https:// twitter.com/chuckgrassley/ status/1222666109599539200 …,joy,0.461642
80,realDonaldTrump,02.02.20 05:28,13939,58471,"Wall is moving along strong, tall and quickly. Thank you Jim for all of your help! https:// twitter.com/JimInhofe/stat us/1120434609131532288 …",joy,0.536652
81,realDonaldTrump,02.02.20 05:25,8351,37538,Thank you John! https:// twitter.com/SenJohnBarrass o/status/1223262560155250688 …,joy,0.302375
82,realDonaldTrump,02.02.20 05:24,5872,32197,Happy birthday to a wonderful man & friend! https:// twitter.com/SenJohnBarrass o/status/1223618785594265600 …,joy,0.9918319999999999
83,realDonaldTrump,01.02.20 17:14,34109,308711,Getting a little exercise this morning! pic.twitter.com/fyAAcbhbgk,joy,0.5732520000000001
84,realDonaldTrump,01.02.20 14:42,23243,101898,"Trump poll numbers are the highest since election, despite constant phony Witch Hunts! Tens of thousands of people attending rallies (which the Fake News never mentions) to see “The Greatest Show On Earth”. Fun because USA is WINNING AGAIN! https:// twitter.com/olivianuzzi/st atus/1223302455276064770 …",joy,0.539397
85,realDonaldTrump,01.02.20 14:14,21289,90804,"Congratulations to @loudobbs , Number One. Lou has shown the Fake News what happens when you cover “America’s Greatest President” fairly & objectively! #MAGA #KAG https:// twitter.com/LouDobbs/statu s/1222664158342152193 …",joy,0.6352939999999999
86,realDonaldTrump,01.02.20 01:13,37364,194572,"No matter what you give to the Democrats, in the end, they will NEVER be satisfied. In the House, they gave us NOTHING!",anger,0.55304
87,realDonaldTrump,01.02.20 00:05,34953,165085,Democrats = 17 Witnesses. Republicans = 0 Witnesses.,disgust,0.343754
88,realDonaldTrump,31.01.20 22:06,44017,183905,"The Radical Left, Do Nothing Democrats keep chanting “fairness”, when they put on the most unfair Witch Hunt in the history of the U.S. Congress. They had 17 Witnesses, we were allowed ZERO, and no lawyers. They didn’t do their job, had no case. The Dems are scamming America!",disgust,0.6385310000000001
89,realDonaldTrump,31.01.20 15:33,26283,114540,Incredible numbers! https:// twitter.com/realDonaldTrum p/status/1223099086389121026 …,joy,0.896324
90,realDonaldTrump,31.01.20 15:25,23875,92005,"Nadler ripped final argument away from Schiff, thinks Shifty did a terrible job. They are fighting big time! https:// twitter.com/Julio_Rosas11/ status/1223090988060758021 …",sadness,0.572342
91,realDonaldTrump,31.01.20 05:22,28626,110689,THE BEST IS YET TO COME! pic.twitter.com/SOn6wRV9Zs,joy,0.7288680000000001
92,realDonaldTrump,31.01.20 04:16,20935,77101,"Americans across the political spectrum are disgusted by the Washington Democrats’ Partisan Hoaxes, Witch Hunts, & Con Jobs. Registered Democrats and Independents are leaving the Democrat Party in droves, & we are welcoming these voters to the Republican Party w/ wide open arms! pic.twitter.com/UCdQXY3vPn",disgust,0.792503
93,realDonaldTrump,31.01.20 04:07,17283,63877,"Washington Dems have spent the last 3 years trying to overturn the last election – and we will make sure they face another crushing defeat in the NEXT ELECTION. Together, we are going to win back the House, we are going to hold the Senate, & we are going to keep the White House! pic.twitter.com/VshQceiwUA",sadness,0.5453140000000001
94,realDonaldTrump,31.01.20 04:04,14745,60654,"To keep America Safe, we have fully rebuilt the U.S. Military – it is now stronger, more powerful, and more lethal than ever before. Thanks to the courage of American Heroes, the ISIS Caliphate has been DESTROYED & its founder & leader – the animal known as al-Baghdadi – is DEAD! pic.twitter.com/9LXDf6mJKf",disgust,0.484362
95,realDonaldTrump,31.01.20 03:54,24418,100133,"This November, we are going to defeat the Radical Socialist Democrats and win the Great State of Iowa in a Historic Landslide! #KAG2020 pic.twitter.com/jYIbSdyGjU",joy,0.641465
96,realDonaldTrump,31.01.20 03:48,19539,88388,"Thank you Iowa, I love you! https://www. pscp.tv/w/cQOMgDEzNTg4 Mzh8MXZPeHdvYkxCQUx4QrT6MSzbemiKv0jhIMKEWz80dLpl7urO3cn8NWkS7psa?t=56s …",joy,0.936227
97,realDonaldTrump,31.01.20 01:19,18878,73498,"Great poll in Iowa, where I just landed for a Big Rally! #KAG2020 pic.twitter.com/4YCo01XYCn",joy,0.58428
98,realDonaldTrump,30.01.20 23:04,22964,138237,"Working closely with China and others on Coronavirus outbreak. Only 5 people in U.S., all in good recovery.",joy,0.6288729999999999
99,realDonaldTrump,30.01.20 22:58,12210,75152,"Leaving Michigan now, great visit, heading for Iowa. Big Rally!",joy,0.470041
100,realDonaldTrump,30.01.20 21:37,31761,146794,"BIGGEST TRADE DEAL EVER MADE, the USMCA, was signed yesterday and the Fake News Media barely mentioned it. They never thought it could be done. They have zero credibility!",sadness,0.499507
101,realDonaldTrump,30.01.20 21:34,16865,101603,"Just landed in Michigan. Car companies, and many others, are building and expanding here. Great to see!",joy,0.675958
102,realDonaldTrump,30.01.20 21:13,8897,41317,Happy birthday today to two of the very best in Congress— @RepMikeJohnson (age 48) and @RepLeeZeldin (age 40—big one!). Two Great American Patriots!!,joy,0.931148
103,realDonaldTrump,30.01.20 21:11,9156,39627,"Congressman @MichaelCBurgess has done a Great job representing the people of Texas. He continues to protect your very important Second Amendment. Mike is Strong on Crime and the Border, he Loves our Great Vets and Military. Mike has my Complete and Total Endorsement!",joy,0.757491
104,realDonaldTrump,30.01.20 21:10,8206,34195,"Congressman Brian @Babin4Congress of Texas has been a strong supporter of our #MAGA Agenda. He is strong on the Second Amendment and Securing our Border, he Loves our Great Vets and Military. Brian has my Complete and Total Endorsement!",joy,0.370882
109,realDonaldTrump,30.01.20 21:01,10682,42576,"Great photos from a SOUTHERN BORDER WALL Briefing with Secretary of Defense, Mark @EsperDoD ! pic.twitter.com/rpGHpdoIa6",joy,0.629267
110,realDonaldTrump,30.01.20 16:39,28251,124054,“Schiff blasted for not focusing on California homeless.” @foxandfriends His District is in terrible shape. He is a corrupt pol who only dreams of the Impeachment Hoax. In my opinion he is mentally deranged!,anger,0.5701109999999999
113,realDonaldTrump,30.01.20 01:06,17315,74116,"Just received a briefing on the Coronavirus in China from all of our GREAT agencies, who are also working closely with China. We will continue to monitor the ongoing developments. We have the best experts anywhere in the world, and they are on top of it 24/7! pic.twitter.com/rrtF1Stk78",joy,0.7095819999999999
114,realDonaldTrump,30.01.20 00:59,36087,164831,Nancy Pelosi wants Congress to take away authority Presidents use to stand up to other countries and defend AMERICANS. Stand with your Commander in Chiefs!,disgust,0.5367270000000001
115,realDonaldTrump,30.01.20 00:59,26083,120285,"With Votes in the House tomorrow, Democrats want to make it harder for Presidents to defend America, and stand up to, as an example, Iran. Protect our GREAT COUNTRY!",sadness,0.471865
116,realDonaldTrump,30.01.20 00:00,56981,172292,GAME OVER! pic.twitter.com/yvMa6bPqfy,,1.0
118,realDonaldTrump,29.01.20 20:24,18226,67236,"For the first time in American History, we have replaced a disastrous Trade Deal that REWARDED outsourcing with a truly FAIR and RECIPROCAL Trade Deal that will keep jobs, wealth and growth right here in AMERICA! pic.twitter.com/bDe8IV9DyD",joy,0.7324689999999999
119,realDonaldTrump,29.01.20 20:21,16477,62448,"Thanks to our pro-worker, pro-American economic policies, unemployment is at the lowest level in more than 50 years. We have created over 7 MILLION new JOBS. More Americans are working today than EVER before. We have the hottest ECONOMY on earth! pic.twitter.com/TRGKRF7xgQ",sadness,0.372979
120,realDonaldTrump,29.01.20 19:38,14081,53210,"USMCA is a cutting edge state of the art agreement that protects, defends and serves the great people of our Country. Promises Made, Promises Kept! pic.twitter.com/PuiG1JPTTI",joy,0.6825760000000001
121,realDonaldTrump,29.01.20 19:36,15189,61592,USMCA is a massive win for American manufacturers and auto workers! pic.twitter.com/eOgFm31cAo,disgust,0.262344
122,realDonaldTrump,29.01.20 16:49,17066,70302,They will never be satisfied! https:// twitter.com/realDonaldTrum p/status/1222344928530968576 …,joy,0.228055
123,realDonaldTrump,29.01.20 16:47,14219,66875,“The best evidence is the Transcript itself.” Brad Blakeman @FoxNews,joy,0.746903
124,realDonaldTrump,29.01.20 16:39,17902,81549,"There is much talk that certain Democrats are going to be voting with Republicans on the Impeachment Hoax, so that the Senate can get back to the business of taking care of the American people. Sorry, but Cryin’ Chuck Schumer will never let that happen!",disgust,0.681135
125,realDonaldTrump,29.01.20 16:33,21405,108362,"On the Iraq War Resolution being voted on tomorrow in the House of Represenatives, we are down to 5000 soldiers, and going down, and I want everyone, Republican and Democrat, to vote their HEART!",disgust,0.535726
126,realDonaldTrump,29.01.20 14:20,14238,63398,"Mark Penn, Harris Poll: “It’s time to end the Impeachment Trial.” @foxandfriends Just another political Hoax by the Dems!",disgust,0.462243
127,realDonaldTrump,29.01.20 13:56,31425,127194,"Remember Republicans, the Democrats already had 17 witnesses, we were given NONE! Witnesses are up to the House, not up to the Senate. Don’t let the Dems play you!",disgust,0.801625
128,realDonaldTrump,29.01.20 13:28,18989,79735,"....many more mistakes of judgement, gets fired because frankly, if I listened to him, we would be in World War Six by now, and goes out and IMMEDIATELY writes a nasty & untrue book. All Classified National Security. Who would do this?",disgust,0.655717
129,realDonaldTrump,29.01.20 13:28,21190,93113,"For a guy who couldn’t get approved for the Ambassador to the U.N. years ago, couldn’t get approved for anything since, “begged” me for a non Senate approved job, which I gave him despite many saying “Don’t do it, sir,” takes the job, mistakenly says “Libyan Model” on T.V., and..",sadness,0.668559
130,realDonaldTrump,29.01.20 12:51,23142,68460,Democrats admitting the Impeachment Hoax! https:// twitter.com/DanScavino/sta tus/1220047531272364037 …,disgust,0.48708500000000005
131,realDonaldTrump,29.01.20 12:41,9300,48769,Thank you! https:// twitter.com/jerseygirl007r n/status/1221889690464219137 …,,1.0
132,realDonaldTrump,29.01.20 06:07,21761,106647,"Why didn’t John Bolton complain about this “nonsense” a long time ago, when he was very publicly terminated. He said, not that it matters, NOTHING!",sadness,0.41658599999999996
133,realDonaldTrump,29.01.20 03:25,39559,164383,"No matter how many witnesses you give the Democrats, no matter how much information is given, like the quickly produced Transcripts, it will NEVER be enough for them. They will always scream UNFAIR. The Impeachment Hoax is just another political CON JOB!",anger,0.554265
134,realDonaldTrump,29.01.20 02:41,29591,105922,"If you want your children to inherit the blessings that generations of Americans have fought and died to secure—then we must devote everything we have toward victory in 2020. Only this way, can we save the America we love – and drain the Washington Swamp once and for all! pic.twitter.com/5NeC0mFWfU",sadness,0.477517
135,realDonaldTrump,29.01.20 02:37,16539,55092,"Democrats are now the party of high taxes, high crime, open borders, late-term abortion, socialism, and blatant corruption. The Republican Party is the party of the American Worker, the American Family, and the American Dream! #TrumpRallyNJ #KAG2020 pic.twitter.com/Kq5KFhQmgH",disgust,0.820053
136,realDonaldTrump,29.01.20 02:32,14011,54702,"Thank you Wildwood, New Jersey! #KeepAmericaGreat https://www. pscp.tv/w/cQDX1zEzNTg4 Mzh8MW1uR2VReVhtVm5HWH0g36sNHJMqVn88PUIxQYA-7lkGjCRunp6PU0CL2C-d?t=24s …",joy,0.743855
137,realDonaldTrump,28.01.20 23:23,29561,152763,"It’s amazing what I’ve done, the most of any President in the first three years (by far), considering that for three years I’ve been under phony political investigations and the Impeachment Hoax! KEEP AMERICA GREAT!",joy,0.8246979999999999
138,realDonaldTrump,28.01.20 23:16,19034,115408,"Heading to New Jersey. Big Rally, in fact, Really Big Rally!",disgust,0.356446
140,realDonaldTrump,28.01.20 20:09,13025,48479,The Witch Hunt continues! https:// twitter.com/joelpollak/sta tus/1222229447157239809 …,disgust,0.405657
141,realDonaldTrump,28.01.20 19:26,9021,29785,"This is what a future State of Palestine can look like, with a capital in parts of East Jerusalem. pic.twitter.com/39vw3pPrAL",sadness,0.274387
142,realDonaldTrump,28.01.20 19:26,11161,43754,هذا ما قد تبدو عليه دولة فلسطين المستقبلية بعاصمة في أجزاء من القدس الشرقية. pic.twitter.com/CFuYwwjSso,emotionless,0.0
143,realDonaldTrump,28.01.20 19:23,10149,38364,I will always stand with the State of Israel and the Jewish people. I strongly support their safety and security and their right to live within their historical homeland. It's time for peace! pic.twitter.com/lKwQ9IKTUG,joy,0.604875
144,realDonaldTrump,28.01.20 19:23,10759,48180,תמיד אעמוד לצד מדינת ישראל והעם היהודי. אני תומך בחוזקה בבטיחותם ובטחונם ובזכותם לחיות במולדתם ההיסטורית. הגיע הזמן לשלום! pic.twitter.com/AtNnQtnGZs,emotionless,0.0
146,realDonaldTrump,28.01.20 16:55,20128,85515,"The Fed should get smart & lower the Rate to make our interest competitive with other Countries which pay much lower even though we are, by far, the high standard. We would then focus on paying off & refinancing debt! There is almost no inflation-this is the time (2 years late)!",sadness,0.524742
147,realDonaldTrump,28.01.20 16:47,31557,216800,Are you better off now than you were three years ago? Almost everyone say YES!,joy,0.51188
148,realDonaldTrump,28.01.20 16:44,17691,63504,".....So, what the hell has happened to @FoxNews . Only I know! Chris Wallace and others should be on Fake News CNN or MSDNC. How’s Shep Smith doing? Watch, this will be the beginning of the end for Fox, just like the other two which are dying in the ratings. Social Media is great!",sadness,0.545942
149,realDonaldTrump,28.01.20 16:44,20481,85288,"Really pathetic how @FoxNews is trying to be so politically correct by loading the airwaves with Democrats like Chris Van Hollen, the no name Senator from Maryland. He has been on forever playing up the Impeachment Hoax. Dems wouldn’t even give Fox their low ratings debates....",disgust,0.6198140000000001
